"Subscription Name","Subscription Id","Item Name"," Item Id","Pricing Tier","Time Remaining"
VF-AzProd-Application-01,7c442962-feed-44b9-9e96-7cf8ab33fa81,VirtualMachines,/subscriptions/7c442962-feed-44b9-9e96-7cf8ab33fa81/providers/Microsoft.Security/pricings/VirtualMachines,Free,30.00:00:00
VF-AzProd-Application-01,7c442962-feed-44b9-9e96-7cf8ab33fa81,SqlServers,/subscriptions/7c442962-feed-44b9-9e96-7cf8ab33fa81/providers/Microsoft.Security/pricings/SqlServers,Free,30.00:00:00
VF-AzProd-Application-01,7c442962-feed-44b9-9e96-7cf8ab33fa81,AppServices,/subscriptions/7c442962-feed-44b9-9e96-7cf8ab33fa81/providers/Microsoft.Security/pricings/AppServices,Free,30.00:00:00
VF-AzProd-Application-01,7c442962-feed-44b9-9e96-7cf8ab33fa81,StorageAccounts,/subscriptions/7c442962-feed-44b9-9e96-7cf8ab33fa81/providers/Microsoft.Security/pricings/StorageAccounts,Free,30.00:00:00
VF-AzProd-Application-01,7c442962-feed-44b9-9e96-7cf8ab33fa81,SqlServerVirtualMachines,/subscriptions/7c442962-feed-44b9-9e96-7cf8ab33fa81/providers/Microsoft.Security/pricings/SqlServerVirtualMachines,Free,30.00:00:00
VF-AzProd-Application-01,7c442962-feed-44b9-9e96-7cf8ab33fa81,KubernetesService,/subscriptions/7c442962-feed-44b9-9e96-7cf8ab33fa81/providers/Microsoft.Security/pricings/KubernetesService,Free,30.00:00:00
VF-AzProd-Application-01,7c442962-feed-44b9-9e96-7cf8ab33fa81,ContainerRegistry,/subscriptions/7c442962-feed-44b9-9e96-7cf8ab33fa81/providers/Microsoft.Security/pricings/ContainerRegistry,Free,30.00:00:00
VF-AzProd-Application-01,7c442962-feed-44b9-9e96-7cf8ab33fa81,KeyVaults,/subscriptions/7c442962-feed-44b9-9e96-7cf8ab33fa81/providers/Microsoft.Security/pricings/KeyVaults,Free,30.00:00:00
VF-AzProd-Management,e0ea7fb3-49dc-4c45-94b1-caeffae4ba9e,VirtualMachines,/subscriptions/e0ea7fb3-49dc-4c45-94b1-caeffae4ba9e/providers/Microsoft.Security/pricings/VirtualMachines,Free,30.00:00:00
VF-AzProd-Management,e0ea7fb3-49dc-4c45-94b1-caeffae4ba9e,SqlServers,/subscriptions/e0ea7fb3-49dc-4c45-94b1-caeffae4ba9e/providers/Microsoft.Security/pricings/SqlServers,Free,30.00:00:00
VF-AzProd-Management,e0ea7fb3-49dc-4c45-94b1-caeffae4ba9e,AppServices,/subscriptions/e0ea7fb3-49dc-4c45-94b1-caeffae4ba9e/providers/Microsoft.Security/pricings/AppServices,Free,30.00:00:00
VF-AzProd-Management,e0ea7fb3-49dc-4c45-94b1-caeffae4ba9e,StorageAccounts,/subscriptions/e0ea7fb3-49dc-4c45-94b1-caeffae4ba9e/providers/Microsoft.Security/pricings/StorageAccounts,Free,30.00:00:00
VF-AzProd-Management,e0ea7fb3-49dc-4c45-94b1-caeffae4ba9e,SqlServerVirtualMachines,/subscriptions/e0ea7fb3-49dc-4c45-94b1-caeffae4ba9e/providers/Microsoft.Security/pricings/SqlServerVirtualMachines,Free,30.00:00:00
VF-AzProd-Management,e0ea7fb3-49dc-4c45-94b1-caeffae4ba9e,KubernetesService,/subscriptions/e0ea7fb3-49dc-4c45-94b1-caeffae4ba9e/providers/Microsoft.Security/pricings/KubernetesService,Free,30.00:00:00
VF-AzProd-Management,e0ea7fb3-49dc-4c45-94b1-caeffae4ba9e,ContainerRegistry,/subscriptions/e0ea7fb3-49dc-4c45-94b1-caeffae4ba9e/providers/Microsoft.Security/pricings/ContainerRegistry,Free,30.00:00:00
VF-AzProd-Management,e0ea7fb3-49dc-4c45-94b1-caeffae4ba9e,KeyVaults,/subscriptions/e0ea7fb3-49dc-4c45-94b1-caeffae4ba9e/providers/Microsoft.Security/pricings/KeyVaults,Free,30.00:00:00
VF-AzQA-Management,0e7063d0-e44e-4bfc-bbbd-3dc30c66b314,VirtualMachines,/subscriptions/0e7063d0-e44e-4bfc-bbbd-3dc30c66b314/providers/Microsoft.Security/pricings/VirtualMachines,Free,30.00:00:00
VF-AzQA-Management,0e7063d0-e44e-4bfc-bbbd-3dc30c66b314,SqlServers,/subscriptions/0e7063d0-e44e-4bfc-bbbd-3dc30c66b314/providers/Microsoft.Security/pricings/SqlServers,Free,30.00:00:00
VF-AzQA-Management,0e7063d0-e44e-4bfc-bbbd-3dc30c66b314,AppServices,/subscriptions/0e7063d0-e44e-4bfc-bbbd-3dc30c66b314/providers/Microsoft.Security/pricings/AppServices,Free,30.00:00:00
VF-AzQA-Management,0e7063d0-e44e-4bfc-bbbd-3dc30c66b314,StorageAccounts,/subscriptions/0e7063d0-e44e-4bfc-bbbd-3dc30c66b314/providers/Microsoft.Security/pricings/StorageAccounts,Free,30.00:00:00
VF-AzQA-Management,0e7063d0-e44e-4bfc-bbbd-3dc30c66b314,SqlServerVirtualMachines,/subscriptions/0e7063d0-e44e-4bfc-bbbd-3dc30c66b314/providers/Microsoft.Security/pricings/SqlServerVirtualMachines,Free,30.00:00:00
VF-AzQA-Management,0e7063d0-e44e-4bfc-bbbd-3dc30c66b314,KubernetesService,/subscriptions/0e7063d0-e44e-4bfc-bbbd-3dc30c66b314/providers/Microsoft.Security/pricings/KubernetesService,Free,30.00:00:00
VF-AzQA-Management,0e7063d0-e44e-4bfc-bbbd-3dc30c66b314,ContainerRegistry,/subscriptions/0e7063d0-e44e-4bfc-bbbd-3dc30c66b314/providers/Microsoft.Security/pricings/ContainerRegistry,Free,30.00:00:00
VF-AzQA-Management,0e7063d0-e44e-4bfc-bbbd-3dc30c66b314,KeyVaults,/subscriptions/0e7063d0-e44e-4bfc-bbbd-3dc30c66b314/providers/Microsoft.Security/pricings/KeyVaults,Free,30.00:00:00
VF-AzDev-Application-01,dd58c285-0ee2-42ed-99be-e8d467d1e4d2,VirtualMachines,/subscriptions/dd58c285-0ee2-42ed-99be-e8d467d1e4d2/providers/Microsoft.Security/pricings/VirtualMachines,Standard,00:00:00
VF-AzDev-Application-01,dd58c285-0ee2-42ed-99be-e8d467d1e4d2,SqlServers,/subscriptions/dd58c285-0ee2-42ed-99be-e8d467d1e4d2/providers/Microsoft.Security/pricings/SqlServers,Standard,00:00:00
VF-AzDev-Application-01,dd58c285-0ee2-42ed-99be-e8d467d1e4d2,AppServices,/subscriptions/dd58c285-0ee2-42ed-99be-e8d467d1e4d2/providers/Microsoft.Security/pricings/AppServices,Standard,00:00:00
VF-AzDev-Application-01,dd58c285-0ee2-42ed-99be-e8d467d1e4d2,StorageAccounts,/subscriptions/dd58c285-0ee2-42ed-99be-e8d467d1e4d2/providers/Microsoft.Security/pricings/StorageAccounts,Standard,00:00:00
VF-AzDev-Application-01,dd58c285-0ee2-42ed-99be-e8d467d1e4d2,SqlServerVirtualMachines,/subscriptions/dd58c285-0ee2-42ed-99be-e8d467d1e4d2/providers/Microsoft.Security/pricings/SqlServerVirtualMachines,Standard,00:00:00
VF-AzDev-Application-01,dd58c285-0ee2-42ed-99be-e8d467d1e4d2,KubernetesService,/subscriptions/dd58c285-0ee2-42ed-99be-e8d467d1e4d2/providers/Microsoft.Security/pricings/KubernetesService,Free,00:00:00
VF-AzDev-Application-01,dd58c285-0ee2-42ed-99be-e8d467d1e4d2,ContainerRegistry,/subscriptions/dd58c285-0ee2-42ed-99be-e8d467d1e4d2/providers/Microsoft.Security/pricings/ContainerRegistry,Free,00:00:00
VF-AzDev-Application-01,dd58c285-0ee2-42ed-99be-e8d467d1e4d2,KeyVaults,/subscriptions/dd58c285-0ee2-42ed-99be-e8d467d1e4d2/providers/Microsoft.Security/pricings/KeyVaults,Standard,00:00:00
VF-AzQA-Application-01,0ce1b036-48fd-41eb-9e2b-45f98e25b8c4,VirtualMachines,/subscriptions/0ce1b036-48fd-41eb-9e2b-45f98e25b8c4/providers/Microsoft.Security/pricings/VirtualMachines,Free,30.00:00:00
VF-AzQA-Application-01,0ce1b036-48fd-41eb-9e2b-45f98e25b8c4,SqlServers,/subscriptions/0ce1b036-48fd-41eb-9e2b-45f98e25b8c4/providers/Microsoft.Security/pricings/SqlServers,Free,30.00:00:00
VF-AzQA-Application-01,0ce1b036-48fd-41eb-9e2b-45f98e25b8c4,AppServices,/subscriptions/0ce1b036-48fd-41eb-9e2b-45f98e25b8c4/providers/Microsoft.Security/pricings/AppServices,Free,30.00:00:00
VF-AzQA-Application-01,0ce1b036-48fd-41eb-9e2b-45f98e25b8c4,StorageAccounts,/subscriptions/0ce1b036-48fd-41eb-9e2b-45f98e25b8c4/providers/Microsoft.Security/pricings/StorageAccounts,Free,30.00:00:00
VF-AzQA-Application-01,0ce1b036-48fd-41eb-9e2b-45f98e25b8c4,SqlServerVirtualMachines,/subscriptions/0ce1b036-48fd-41eb-9e2b-45f98e25b8c4/providers/Microsoft.Security/pricings/SqlServerVirtualMachines,Free,30.00:00:00
VF-AzQA-Application-01,0ce1b036-48fd-41eb-9e2b-45f98e25b8c4,KubernetesService,/subscriptions/0ce1b036-48fd-41eb-9e2b-45f98e25b8c4/providers/Microsoft.Security/pricings/KubernetesService,Free,30.00:00:00
VF-AzQA-Application-01,0ce1b036-48fd-41eb-9e2b-45f98e25b8c4,ContainerRegistry,/subscriptions/0ce1b036-48fd-41eb-9e2b-45f98e25b8c4/providers/Microsoft.Security/pricings/ContainerRegistry,Free,30.00:00:00
VF-AzQA-Application-01,0ce1b036-48fd-41eb-9e2b-45f98e25b8c4,KeyVaults,/subscriptions/0ce1b036-48fd-41eb-9e2b-45f98e25b8c4/providers/Microsoft.Security/pricings/KeyVaults,Free,30.00:00:00
VF-AzDev-Management,d6ec19c6-066b-4041-ac2a-99a305810922,VirtualMachines,/subscriptions/d6ec19c6-066b-4041-ac2a-99a305810922/providers/Microsoft.Security/pricings/VirtualMachines,Standard,00:00:00
VF-AzDev-Management,d6ec19c6-066b-4041-ac2a-99a305810922,SqlServers,/subscriptions/d6ec19c6-066b-4041-ac2a-99a305810922/providers/Microsoft.Security/pricings/SqlServers,Standard,00:00:00
VF-AzDev-Management,d6ec19c6-066b-4041-ac2a-99a305810922,AppServices,/subscriptions/d6ec19c6-066b-4041-ac2a-99a305810922/providers/Microsoft.Security/pricings/AppServices,Standard,00:00:00
VF-AzDev-Management,d6ec19c6-066b-4041-ac2a-99a305810922,StorageAccounts,/subscriptions/d6ec19c6-066b-4041-ac2a-99a305810922/providers/Microsoft.Security/pricings/StorageAccounts,Standard,00:00:00
VF-AzDev-Management,d6ec19c6-066b-4041-ac2a-99a305810922,SqlServerVirtualMachines,/subscriptions/d6ec19c6-066b-4041-ac2a-99a305810922/providers/Microsoft.Security/pricings/SqlServerVirtualMachines,Free,00:00:00
VF-AzDev-Management,d6ec19c6-066b-4041-ac2a-99a305810922,KubernetesService,/subscriptions/d6ec19c6-066b-4041-ac2a-99a305810922/providers/Microsoft.Security/pricings/KubernetesService,Free,00:00:00
VF-AzDev-Management,d6ec19c6-066b-4041-ac2a-99a305810922,ContainerRegistry,/subscriptions/d6ec19c6-066b-4041-ac2a-99a305810922/providers/Microsoft.Security/pricings/ContainerRegistry,Free,00:00:00
VF-AzDev-Management,d6ec19c6-066b-4041-ac2a-99a305810922,KeyVaults,/subscriptions/d6ec19c6-066b-4041-ac2a-99a305810922/providers/Microsoft.Security/pricings/KeyVaults,Free,00:00:00
VF-Az-Network-01,ec9e885d-c1ef-4b88-ac15-c050e660022a,VirtualMachines,/subscriptions/ec9e885d-c1ef-4b88-ac15-c050e660022a/providers/Microsoft.Security/pricings/VirtualMachines,Free,30.00:00:00
VF-Az-Network-01,ec9e885d-c1ef-4b88-ac15-c050e660022a,SqlServers,/subscriptions/ec9e885d-c1ef-4b88-ac15-c050e660022a/providers/Microsoft.Security/pricings/SqlServers,Free,30.00:00:00
VF-Az-Network-01,ec9e885d-c1ef-4b88-ac15-c050e660022a,AppServices,/subscriptions/ec9e885d-c1ef-4b88-ac15-c050e660022a/providers/Microsoft.Security/pricings/AppServices,Free,30.00:00:00
VF-Az-Network-01,ec9e885d-c1ef-4b88-ac15-c050e660022a,StorageAccounts,/subscriptions/ec9e885d-c1ef-4b88-ac15-c050e660022a/providers/Microsoft.Security/pricings/StorageAccounts,Free,30.00:00:00
VF-Az-Network-01,ec9e885d-c1ef-4b88-ac15-c050e660022a,SqlServerVirtualMachines,/subscriptions/ec9e885d-c1ef-4b88-ac15-c050e660022a/providers/Microsoft.Security/pricings/SqlServerVirtualMachines,Free,30.00:00:00
VF-Az-Network-01,ec9e885d-c1ef-4b88-ac15-c050e660022a,KubernetesService,/subscriptions/ec9e885d-c1ef-4b88-ac15-c050e660022a/providers/Microsoft.Security/pricings/KubernetesService,Free,30.00:00:00
VF-Az-Network-01,ec9e885d-c1ef-4b88-ac15-c050e660022a,ContainerRegistry,/subscriptions/ec9e885d-c1ef-4b88-ac15-c050e660022a/providers/Microsoft.Security/pricings/ContainerRegistry,Free,30.00:00:00
VF-Az-Network-01,ec9e885d-c1ef-4b88-ac15-c050e660022a,KeyVaults,/subscriptions/ec9e885d-c1ef-4b88-ac15-c050e660022a/providers/Microsoft.Security/pricings/KeyVaults,Free,30.00:00:00
